Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
0,21,191.41,1,mid range,East Coast City Dialects,Missing,No,mesomorph,No,M,No,Pizza,8711,8711,1089
1,**??,194.91,------->?,deep,Southern American,white/gray,No,mesomorph,?,NB,No,Pizza,VeryHigh,4734,?
2,------->?,170.39,0,high pitched,Midwestern American,black,No,mesomorph,No,M,No,?,VeryHigh,7252,907
,,,,,,,,,,,,,,,
4,19,187.54,3,deep,East Coast City Dialects,white/gray,No,ectomorph,Yes,M,No,Pizaa,VeryHigh,5080,635
5,53,148.04,6,deep,Missing,blond,Yes,Missing,No,NB,Yes,Burger,9599,9599,**??
------->?,25,150.14,7,mid range,Southern American,Missing,**??,ectomorph,Yes,M,Yes,Burger,Low,Bad,125
7,44,------->?,7,deep,Missing,blond,Yes,------->?,Yes,F,**??,Burger,8490,8490,------->?
8,?,163.23,8,deep,Boston,blond,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,6757,1417
9,50,?,8,deep,Southern American,------->?,Yes,**??,Yes,?,Yes,Burger,VeryHigh,5133,1445
10,------->?,184.28,3,high pitched,Southern American,blond,**??,mesomorph,Yes,M,No,Apple Pie,Low,Bad,845
11,49,142.4,6,deep,Southern American,blond,No,mesomorph,No,M,Yes,Burger,VeryHigh,7068,1403
12,19,201.55,1,high pitched,french,black,Yes,**??,No,F,**??,Hot Dogs,VeryHigh,5057,1299
13,53,156.6,7,deep,french,blond,Yes,ectomorph,Yes,M,Yes,Hot Dogs,VeryHigh,7470,------->?
14,21,176.49,0,high pitched,Northern Irish,white/gray,No,mesomorph,No,M,No,Burger,9006,9006,Missing
15,47,------->?,7,deep,Scottish,blond,Yes,mesomorph,Yes,?,Yes,Burger,8513,8513,?
,,,,,,,,,,,,,,,
17,19,180.01,3,mid range,Southern American,black,No,ectomorph,Yes,F,No,Burger,Low,Bad,?
18,26,156.63,8,deep,Northern Irish,brown,No,mesomorph,No,F,Yes,------->?,VeryHigh,4341,1281
19,?,?,?,deep,Welsh,white/gray,Yes,mesomorph,No,F,Yes,Burger,Low,Bad,Missing
20,22,197.56,3,high pitched,Midwestern American,white/gray,No,endomorph,Yes,M,No,Hot Dogs,VeryHigh,6029,?
21,19,178.83,1,?,Midwestern American,black,?,ectomorph,Yes,M,No,Hot Dogs,VeryHigh,4724,1065
